          | WBr 0.00 | WBr 0.05 | WBr 0.10 | WBr 0.15 | WBr 0.20 | WBr 0.25 | WBr 0.30 | WBr 0.35 | WBr 0.40 | WBr 0.45 | WBr 0.50 | WBr 0.55 | WBr 0.60 | WBr 0.65 | WBr 0.70 | WBr 0.75 | WBr 0.80 | WBr 0.85 | WBr 0.90 | WBr 0.95 | WBr 1.00 |
 HBr 0.00 |   800.18 |   791.68 |   786.72 |   779.99 |   774.17 |   771.55 |   765.98 |   761.55 |   756.01 |   751.02 |   736.71 |   722.09 |   712.34 |   720.59 |   729.46 |   742.85 |   752.30 |   759.25 |   766.01 |   772.63 |   781.31 |
 HBr 0.05 |   795.31 |   787.97 |   781.42 |   775.11 |   771.13 |   766.15 |   761.47 |   755.31 |   748.59 |   735.31 |   721.81 |   709.88 |   711.61 |   719.19 |   727.38 |   739.75 |   751.30 |   757.93 |   764.30 |   771.31 |   771.31 |
 HBr 0.10 |   790.51 |   782.59 |   777.50 |   770.75 |   766.47 |   760.44 |   755.54 |   750.06 |   734.30 |   721.20 |   710.58 |   703.02 |   710.62 |   717.58 |   725.69 |   737.53 |   750.31 |   756.79 |   762.02 |   762.02 |     0.00 |
 HBr 0.15 |   784.81 |   778.25 |   772.05 |   766.98 |   761.32 |   755.95 |   748.81 |   733.25 |   722.16 |   710.68 |   696.79 |   702.76 |   709.21 |   716.82 |   723.32 |   735.66 |   748.41 |   755.21 |   755.21 |     0.00 |     0.00 |
 HBr 0.20 |   780.35 |   774.35 |   767.38 |   761.80 |   756.15 |   750.10 |   733.97 |   722.00 |   711.10 |   700.04 |   685.68 |   701.96 |   708.08 |   714.71 |   722.35 |   732.60 |   745.29 |   745.29 |     0.00 |     0.00 |     0.00 |
 HBr 0.25 |   775.11 |   768.87 |   763.01 |   756.53 |   751.37 |   736.05 |   722.99 |   712.20 |   700.66 |   673.76 |   684.19 |   701.41 |   707.35 |   713.69 |   720.87 |   730.98 |   730.98 |     0.00 |     0.00 |     0.00 |     0.00 |
 HBr 0.30 |   770.84 |   763.63 |   757.58 |   752.16 |   736.38 |   723.90 |   712.75 |   701.22 |   674.08 |   668.39 |   681.82 |   700.50 |   706.03 |   712.34 |   719.65 |   719.65 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |
 HBr 0.35 |   765.32 |   758.41 |   752.58 |   739.37 |   724.95 |   713.83 |   703.32 |   677.77 |   658.51 |   668.08 |   680.70 |   697.42 |   705.42 |   711.05 |   711.05 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |
 HBr 0.40 |   760.32 |   753.67 |   741.03 |   726.49 |   715.15 |   703.13 |   678.75 |   657.25 |   656.82 |   666.65 |   678.39 |   693.23 |   704.09 |   704.09 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |
 HBr 0.45 |   754.52 |   743.89 |   727.85 |   715.69 |   705.76 |   683.66 |   658.84 |   652.16 |   662.74 |   673.85 |   685.03 |   696.54 |   696.54 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |
