          | WBr 0.00 | WBr 0.05 | WBr 0.10 | WBr 0.15 | WBr 0.20 | WBr 0.25 | WBr 0.30 | WBr 0.35 | WBr 0.40 | WBr 0.45 | WBr 0.50 | WBr 0.55 | WBr 0.60 | WBr 0.65 | WBr 0.70 | WBr 0.75 | WBr 0.80 | WBr 0.85 | WBr 0.90 | WBr 0.95 | WBr 1.00 |
 HBr 0.00 |   811.42 |   800.31 |   789.20 |   780.52 |   773.06 |   765.34 |   759.13 |   752.44 |   743.16 |   731.56 |   721.20 |   715.82 |   723.17 |   730.79 |   738.24 |   747.33 |   756.86 |   766.99 |   778.52 |   791.68 |   802.50 |
 HBr 0.05 |   799.47 |   790.96 |   781.57 |   773.04 |   766.57 |   760.42 |   752.88 |   744.99 |   731.35 |   721.96 |   713.86 |   718.69 |   725.42 |   732.61 |   739.57 |   748.51 |   757.79 |   767.85 |   779.29 |   792.31 |   792.31 |
 HBr 0.10 |   792.51 |   782.79 |   774.08 |   767.28 |   760.31 |   755.42 |   744.99 |   733.54 |   722.84 |   714.35 |   717.51 |   723.10 |   729.29 |   735.95 |   742.45 |   751.19 |   760.02 |   769.98 |   781.26 |   781.26 |     0.00 |
 HBr 0.15 |   783.97 |   776.27 |   768.59 |   761.59 |   755.84 |   749.29 |   733.85 |   723.30 |   716.86 |   720.10 |   724.27 |   729.14 |   734.55 |   740.23 |   747.05 |   754.89 |   763.48 |   773.36 |   773.36 |     0.00 |     0.00 |
 HBr 0.20 |   777.02 |   769.52 |   762.71 |   756.83 |   750.18 |   735.90 |   725.98 |   725.84 |   726.89 |   729.12 |   732.32 |   736.33 |   741.11 |   746.44 |   752.84 |   759.89 |   768.25 |   768.25 |     0.00 |     0.00 |     0.00 |
 HBr 0.25 |   770.92 |   762.57 |   757.52 |   751.21 |   744.86 |   741.52 |   739.15 |   738.10 |   738.18 |   739.45 |   741.74 |   744.93 |   749.06 |   753.78 |   759.31 |   766.07 |   766.07 |     0.00 |     0.00 |     0.00 |     0.00 |
 HBr 0.30 |   767.20 |   763.91 |   760.83 |   758.03 |   755.41 |   753.31 |   751.81 |   750.87 |   750.22 |   750.66 |   751.72 |   753.96 |   757.08 |   761.39 |   766.79 |   766.79 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |
 HBr 0.35 |   775.85 |   772.63 |   769.66 |   766.84 |   764.43 |   762.41 |   760.91 |   759.63 |   759.28 |   759.53 |   760.70 |   762.77 |   765.87 |   769.88 |   769.88 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |
 HBr 0.40 |   785.26 |   782.24 |   779.31 |   776.58 |   774.19 |   772.13 |   770.44 |   769.45 |   769.04 |   769.26 |   770.33 |   772.46 |   775.38 |   775.38 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |
 HBr 0.45 |   795.61 |   792.67 |   789.74 |   787.17 |   784.76 |   782.81 |   781.21 |   780.12 |   779.52 |   779.76 |   781.09 |   782.99 |   782.99 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |
