          | WBr 0.00 | WBr 0.05 | WBr 0.10 | WBr 0.15 | WBr 0.20 | WBr 0.25 | WBr 0.30 | WBr 0.35 | WBr 0.40 | WBr 0.45 | WBr 0.50 | WBr 0.55 | WBr 0.60 | WBr 0.65 | WBr 0.70 | WBr 0.75 | WBr 0.80 | WBr 0.85 | WBr 0.90 | WBr 0.95 | WBr 1.00 |
 HBr 0.00 |   787.56 |   780.26 |   775.19 |   770.45 |   766.32 |   763.01 |   759.08 |   755.67 |   751.18 |   739.58 |   726.63 |   716.44 |   712.27 |   728.60 |   752.65 |   762.70 |   772.49 |   780.16 |   791.34 |   802.93 |   813.71 |
 HBr 0.05 |   784.42 |   778.41 |   772.16 |   767.34 |   763.90 |   759.83 |   755.87 |   751.00 |   738.65 |   726.64 |   716.79 |   708.03 |   708.90 |   731.41 |   751.80 |   762.19 |   771.65 |   782.00 |   793.77 |   805.76 |   805.76 |
 HBr 0.10 |   781.45 |   774.12 |   769.45 |   764.25 |   760.36 |   755.75 |   751.59 |   740.64 |   727.49 |   717.20 |   708.99 |   701.69 |   709.19 |   731.80 |   752.95 |   759.94 |   771.10 |   780.06 |   794.18 |   794.18 |     0.00 |
 HBr 0.15 |   777.34 |   771.24 |   766.05 |   761.45 |   756.91 |   752.43 |   741.41 |   727.84 |   718.13 |   709.33 |   701.05 |   700.00 |   721.75 |   737.97 |   753.24 |   759.74 |   770.02 |   781.24 |   781.24 |     0.00 |     0.00 |
 HBr 0.20 |   774.28 |   768.48 |   762.70 |   757.89 |   753.04 |   743.13 |   728.87 |   718.88 |   709.96 |   702.07 |   700.00 |   730.06 |   750.01 |   754.66 |   760.12 |   765.64 |   771.05 |   771.05 |     0.00 |     0.00 |     0.00 |
 HBr 0.25 |   770.31 |   764.75 |   759.28 |   753.94 |   747.74 |   731.31 |   720.18 |   711.19 |   703.04 |   700.00 |   735.04 |   751.20 |   757.43 |   763.82 |   770.55 |   777.22 |   777.22 |     0.00 |     0.00 |     0.00 |     0.00 |
 HBr 0.30 |   766.91 |   760.59 |   755.18 |   750.59 |   732.77 |   721.76 |   712.46 |   703.67 |   700.00 |   736.95 |   752.27 |   759.39 |   766.82 |   774.52 |   782.33 |   782.33 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |
 HBr 0.35 |   762.59 |   756.37 |   751.32 |   736.03 |   722.79 |   713.66 |   705.30 |   700.00 |   736.01 |   752.34 |   760.41 |   768.85 |   777.45 |   786.49 |   786.49 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |
 HBr 0.40 |   758.66 |   752.60 |   738.92 |   724.81 |   715.23 |   705.80 |   700.00 |   732.82 |   751.38 |   760.36 |   769.74 |   779.51 |   789.49 |   789.49 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |
 HBr 0.45 |   753.87 |   742.44 |   726.82 |   716.22 |   707.79 |   700.00 |   727.38 |   750.01 |   759.03 |   769.33 |   780.10 |   791.07 |   791.07 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |
