          | WBr 0.00 | WBr 0.05 | WBr 0.10 | WBr 0.15 | WBr 0.20 | WBr 0.25 | WBr 0.30 | WBr 0.35 | WBr 0.40 | WBr 0.45 | WBr 0.50 | WBr 0.55 | WBr 0.60 | WBr 0.65 | WBr 0.70 | WBr 0.75 | WBr 0.80 | WBr 0.85 | WBr 0.90 | WBr 0.95 | WBr 1.00 |
 HBr 0.00 |   809.46 |   800.51 |   788.37 |   780.30 |   772.89 |   766.68 |   761.47 |   756.68 |   752.45 |   742.70 |   731.75 |   736.60 |   741.11 |   747.06 |   752.40 |   756.71 |   761.20 |   766.06 |   771.71 |   777.87 |   784.36 |
 HBr 0.05 |   801.32 |   791.04 |   781.44 |   773.79 |   767.64 |   762.75 |   757.55 |   753.29 |   743.56 |   739.48 |   742.69 |   746.47 |   751.10 |   754.35 |   758.09 |   762.43 |   766.62 |   771.61 |   777.31 |   783.43 |   783.43 |
 HBr 0.10 |   792.87 |   783.31 |   774.83 |   768.83 |   762.80 |   758.94 |   753.40 |   751.96 |   752.11 |   752.95 |   754.27 |   756.40 |   758.97 |   761.91 |   765.02 |   769.01 |   773.43 |   778.37 |   783.46 |   783.46 |     0.00 |
 HBr 0.15 |   786.54 |   783.27 |   779.58 |   775.33 |   772.04 |   769.54 |   767.07 |   765.42 |   764.31 |   764.20 |   764.69 |   766.19 |   767.99 |   770.57 |   773.45 |   776.91 |   781.02 |   785.88 |   785.88 |     0.00 |     0.00 |
 HBr 0.20 |   800.54 |   798.73 |   795.59 |   792.43 |   789.44 |   785.24 |   782.05 |   779.72 |   777.91 |   777.06 |   776.72 |   777.18 |   778.94 |   780.93 |   783.89 |   786.51 |   790.21 |   790.21 |     0.00 |     0.00 |     0.00 |
 HBr 0.25 |   811.51 |   810.32 |   808.53 |   806.58 |   803.49 |   801.36 |   798.92 |   795.87 |   793.37 |   791.81 |   790.78 |   790.33 |   791.69 |   793.24 |   794.83 |   797.46 |   797.46 |     0.00 |     0.00 |     0.00 |     0.00 |
 HBr 0.30 |   824.19 |   822.73 |   820.44 |   818.11 |   815.81 |   813.56 |   811.28 |   808.90 |   807.17 |   805.68 |   804.59 |   804.09 |   804.35 |   805.17 |   805.59 |   805.59 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |
 HBr 0.35 |   837.64 |   835.38 |   833.79 |   831.91 |   829.67 |   827.63 |   825.26 |   822.57 |   820.64 |   818.87 |   817.52 |   817.13 |   816.91 |   816.27 |   816.27 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |
 HBr 0.40 |   850.60 |   850.10 |   849.34 |   847.62 |   845.50 |   843.46 |   840.88 |   838.57 |   836.30 |   834.21 |   833.10 |   832.10 |   831.26 |   831.26 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |
 HBr 0.45 |   859.42 |   859.21 |   858.65 |   858.00 |   857.16 |   856.42 |   855.11 |   853.94 |   852.73 |   851.85 |   850.70 |   849.29 |   849.29 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |
